GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testing-homework,org.example.cart,ProductNotFoundException,3,8,0,0,1,3,1,1,1,1
testing-homework,org.example.cart,ShoppingCartService,0,68,1,5,0,14,1,5,0,3
testing-homework,org.example.cart,Product,6,15,0,0,2,6,2,2,2,2
testing-homework,org.example.cart,CartItem,0,15,0,0,0,6,0,3,0,3
testing-homework,org.example.notification,NotificationService,0,45,1,3,0,12,1,4,0,3
testing-homework,org.example.notification,UserNotFoundException,0,5,0,0,0,2,0,1,0,1
testing-homework,org.example.notification,User,3,18,0,0,1,7,1,3,1,3
testing-homework,org.example.reservation,ConfirmationEmail,0,21,0,0,0,8,0,4,0,4
testing-homework,org.example.reservation,Room,6,21,0,0,2,8,2,3,2,3
testing-homework,org.example.reservation,ReservationService,0,157,0,4,0,35,0,5,0,3
testing-homework,org.example.reservation,TimeSlot,0,21,0,0,0,8,0,4,0,4
testing-homework,org.example.reservation,ReservationStatus,0,21,0,0,0,4,0,1,0,1
testing-homework,org.example.reservation,Reservation,10,55,0,0,3,17,3,14,3,14
testing-homework,org.example,Calculator,19,7,2,0,5,2,4,2,3,2
testing-homework,org.example,StringUtils,3,34,0,8,1,11,1,5,1,1
testing-homework,org.example.bank,TransferLog,18,21,0,0,6,8,6,1,6,1
testing-homework,org.example.bank,InsufficientFundsException,9,30,0,0,3,5,3,1,3,1
testing-homework,org.example.bank,Account,6,19,0,0,2,7,2,3,2,3
testing-homework,org.example.bank,TransferService,0,119,0,4,0,23,0,6,0,4
testing-homework,org.example.bank,AccountNotFoundException,0,5,0,0,0,2,0,1,0,1
testing-homework,org.example.validation,UserValidator,0,28,0,6,0,8,0,5,0,2
testing-homework,org.example.validation,PasswordValidator,3,52,0,16,1,12,1,9,1,1
testing-homework,org.example.roman,RomanNumerals,8,149,2,6,2,9,3,4,1,2
